eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
754.03,1743.66,-1.1920928955078125e-07,1432,1800,1.929347276687622,0.5983026027679443,864000,39.69377136230469
828.39,1806.86,0.0,1437,1900,2.4395103454589844,-0.2871740758419037,912000,83.07813262939453
832.9,1803.36,0.0,1443,2000,2.4728622436523438,-2.0082597732543945,960000,67.5683822631836
763.45,1765.21,0.0,1447,2100,2.484363317489624,0.778963029384613,1008000,25.197866439819336
781.67,1869.56,5.960464477539063e-08,1452,2200,2.407698631286621,0.2510164678096771,1056000,23.228731155395508
807.85,1858.66,0.0,1457,2300,2.4572532176971436,0.43256238102912903,1104000,22.507902145385742
789.47,1823.5,0.0,1461,2400,2.479135036468506,-2.3604631423950195,1152000,20.53702735900879
773.98,1877.21,0.0,1466,2500,2.4720230102539062,1.2461955547332764,1200000,21.946414947509766
761.54,1780.48,-2.384185791015625e-07,1470,2600,2.293621063232422,-0.7968087792396545,1248000,69.38746643066406
841.03,1848.93,0.0,1473,2700,2.613588809967041,-11.767854690551758,1296000,116.16658020019531
876.58,1827.68,5.960464477539063e-08,1476,2800,2.5257928371429443,-2.046830177307129,1344000,58.92008590698242
895.97,1847.27,0.0,1479,2900,2.527104377746582,1.4009931087493896,1392000,26.935062408447266
888.33,1859.78,-1.1920928955078125e-07,1481,3000,2.3121511936187744,2.1131389141082764,1440000,26.399669647216797
813.5,1728.19,0.0,1484,3100,2.658090829849243,5.8352813720703125,1488000,30.238990783691406
790.59,1795.06,5.960464477539063e-08,1486,3200,2.4825172424316406,-2.6240813732147217,1536000,16.644081115722656
825.39,1799.99,0.0,1489,3300,2.4173452854156494,1.3149206638336182,1584000,26.02857208251953
833.69,1733.04,-1.1920928955078125e-07,1491,3400,2.175813913345337,1.5429255962371826,1632000,26.349239349365234
677.68,1650.59,1.1920928955078125e-07,1492,3500,2.32051944732666,0.7162530422210693,1680000,30.70425033569336
669.34,1672.83,-1.1920928955078125e-07,1494,3600,2.166775703430176,-3.256655216217041,1728000,117.20779418945312
678.94,1593.58,0.0,1496,3700,2.528419256210327,1.2088539600372314,1776000,31.716552734375
696.19,1612.97,0.0,1498,3800,2.3337960243225098,1.4637800455093384,1824000,23.817657470703125
711.6,1653.98,0.0,1500,3900,2.2577223777770996,2.7503108978271484,1872000,36.62647247314453
699.83,1725.96,-1.1920928955078125e-07,1501,4000,2.1884171962738037,-2.6827902793884277,1920000,85.8583984375
734.76,1819.32,0.0,1503,4100,1.592292308807373,-1.243392825126648,1968000,65.8353500366211
702.26,1709.13,5.960464477539063e-08,1505,4200,1.35750150680542,0.5972724556922913,2016000,28.3402156829834
629.54,1581.74,0.0,1506,4300,1.3620985746383667,-0.007570653222501278,2064000,26.633644104003906
644.55,1657.73,0.0,1508,4400,1.3093098402023315,-3.7504162788391113,2112000,58.32551193237305
682.32,1658.06,0.0,1509,4500,2.198174476623535,0.5661388039588928,2160000,22.493146896362305
781.06,1814.36,-1.1920928955078125e-07,1510,4600,2.029446840286255,-1.3683085441589355,2208000,22.001686096191406
781.88,1816.25,-1.1920928955078125e-07,1511,4700,1.8087875843048096,-0.3253348469734192,2256000,32.28897476196289
780.14,1806.08,5.960464477539063e-08,1513,4800,1.7660644054412842,0.21638424694538116,2304000,23.053096771240234
850.39,1823.01,0.0,1514,4900,1.9034690856933594,3.5559771060943604,2352000,24.453657150268555
833.81,1784.92,0.0,1515,5000,1.5195372104644775,1.7540862560272217,2400000,26.959293365478516
776.1,1750.12,0.0,1516,5100,1.9338562488555908,2.5609312057495117,2448000,23.49238395690918
841.15,1822.71,0.0,1517,5200,2.1497597694396973,1.4788144826889038,2496000,27.848649978637695
1038.74,1853.22,0.0,1518,5300,2.5355477333068848,3.938131093978882,2544000,25.47407341003418
993.84,1779.94,0.0,1519,5400,2.3260107040405273,-1.3514286279678345,2592000,18.641695022583008
688.41,1756.06,0.0,1520,5500,1.519432783126831,-1.0687434673309326,2640000,18.22671890258789
655.91,1505.29,5.960464477539063e-08,1521,5600,2.0960187911987305,-4.050809383392334,2688000,132.025634765625
668.8,1707.45,0.0,1522,5700,2.215562582015991,0.9532162547111511,2736000,50.375755310058594
752.52,1823.18,0.0,1527,5800,2.320620059967041,0.2150195986032486,2784000,67.32067108154297
708.05,1708.63,-1.1920928955078125e-07,1531,5900,2.0047407150268555,-2.299844980239868,2832000,23.186548233032227
665.43,1678.01,0.0,1535,6000,1.2711104154586792,-1.7187236547470093,2880000,111.76143646240234
748.37,1810.46,0.0,1539,6100,1.5908539295196533,-1.0732364654541016,2928000,48.7755126953125
751.03,1743.96,5.960464477539063e-08,1542,6200,2.2021048069000244,2.0325233936309814,2976000,25.446352005004883
701.03,1804.05,-1.1920928955078125e-07,1545,6300,2.0381460189819336,-0.06116390973329544,3024000,44.64386749267578
693.08,1827.98,5.960464477539063e-08,1547,6400,1.5654041767120361,0.6688879728317261,3072000,23.567588806152344
578.86,1631.79,0.0,1550,6500,0.5041026473045349,0.010096905753016472,3120000,16.00312614440918
586.38,1547.8,5.960464477539063e-08,1552,6600,2.075211524963379,1.1638752222061157,3168000,27.070819854736328
655.45,1788.15,0.0,1555,6700,2.0969412326812744,1.109226107597351,3216000,39.30204772949219
639.05,1607.42,0.0,1557,6800,1.2085661888122559,-2.200265884399414,3264000,55.32382583618164
677.93,1699.96,0.0,1559,6900,1.5371551513671875,1.1938714981079102,3312000,22.257549285888672
655.02,1721.98,0.0,1562,7000,1.7237566709518433,-3.2191529273986816,3360000,95.35347747802734
723.78,1770.41,-1.1920928955078125e-07,1564,7100,1.7940329313278198,-1.7933306694030762,3408000,61.4354248046875
667.49,1811.59,0.0,1568,7200,2.014373540878296,-3.9249989986419678,3456000,25.599821090698242
698.17,1809.52,0.0,1571,7300,1.7643492221832275,-0.5412994027137756,3504000,19.27185821533203
663.69,1784.89,0.0,1574,7400,1.9512646198272705,1.29361093044281,3552000,48.909725189208984
635.8,1748.29,0.0,1577,7500,1.9818837642669678,3.238124132156372,3600000,25.828432083129883
676.68,1785.26,0.0,1580,7600,1.6312236785888672,-0.7874544858932495,3648000,61.08034133911133
678.05,1729.89,0.0,1583,7700,1.3744832277297974,2.6194369792938232,3696000,26.484180450439453
720.86,1801.41,0.0,1585,7800,1.7514113187789917,-0.5420600175857544,3744000,28.200237274169922
681.93,1721.88,0.0,1588,7900,1.8775274753570557,4.462492942810059,3792000,32.12196731567383
685.89,1665.16,1.1920928955078125e-07,1591,8000,0.4155440926551819,-0.8436145782470703,3840000,71.5185775756836
610.83,1375.68,0.0,1594,8100,1.9119900465011597,-0.7288318276405334,3888000,44.242431640625
627.53,1551.0,5.960464477539063e-08,1596,8200,1.3538234233856201,0.6714473366737366,3936000,58.052547454833984
639.71,1538.3,0.0,1599,8300,0.697883665561676,-0.2554936110973358,3984000,23.943635940551758
650.83,1575.34,0.0,1601,8400,1.4939366579055786,1.4718198776245117,4032000,33.99063491821289
668.61,1741.44,0.0,1604,8500,2.076390266418457,-1.1531720161437988,4080000,22.563365936279297
752.2,1903.5,0.0,1606,8600,2.3140900135040283,2.8887410163879395,4128000,24.411243438720703
727.26,1856.22,0.0,1608,8700,1.2479058504104614,-2.785975933074951,4176000,44.908607482910156
649.2,1650.82,0.0,1610,8800,1.8808239698410034,-0.7790041565895081,4224000,73.79042053222656
705.09,1713.32,0.0,1611,8900,2.424743413925171,-0.397283136844635,4272000,45.22917938232422
889.81,1854.66,-1.1920928955078125e-07,1612,9000,1.0139871835708618,0.3950246572494507,4320000,9.125849723815918
1032.43,1806.65,0.0,1613,9100,0.3022345304489136,-0.39580443501472473,4368000,16.831405639648438
656.49,1326.91,0.0,1614,9200,2.119669198989868,0.8497990965843201,4416000,20.572837829589844
462.62,977.5,0.0,1614,9300,0.025712354108691216,0.0012939368607476354,4464000,22.696378707885742
426.5,634.91,0.0,1615,9400,0.015304667875170708,0.027453672140836716,4512000,16.976436614990234
438.96,634.73,0.0,1616,9500,0.021425239741802216,0.00047000887570902705,4560000,13.852218627929688
410.75,630.77,0.0,1617,9600,0.00628342991694808,0.0005556927644647658,4608000,22.371919631958008
436.49,623.42,0.0,1619,9700,0.004526473581790924,-0.004800100810825825,4656000,26.57655906677246
400.94,633.11,0.0,1620,9800,0.04997973144054413,0.04347847402095795,4704000,19.65182876586914
566.65,1254.66,0.0,1621,9900,2.1815195083618164,3.712738513946533,4752000,27.82683563232422
683.19,1799.27,-1.1920928955078125e-07,1622,10000,2.3687539100646973,-4.757789611816406,4800000,52.70646286010742
739.19,1729.79,0.0,1623,10100,1.936905026435852,1.6414549350738525,4848000,24.128564834594727
699.31,1718.37,0.0,1624,10200,1.7965584993362427,-0.12187822163105011,4896000,64.4162826538086
628.95,1618.88,5.960464477539063e-08,1625,10300,2.1738975048065186,3.237701892852783,4944000,24.51607894897461
683.53,1703.27,5.960464477539063e-08,1626,10400,2.108764886856079,3.508491277694702,4992000,23.996206283569336
770.22,1749.11,0.0,1627,10500,1.8284376859664917,0.4245602786540985,5040000,30.08176040649414
717.62,1718.42,0.0,1628,10600,1.8752033710479736,-3.285221576690674,5088000,45.91122817993164
654.98,1750.5,5.960464477539063e-08,1629,10700,1.9156972169876099,0.05952700972557068,5136000,26.510709762573242
620.87,1615.62,0.0,1630,10800,2.1409502029418945,2.4233291149139404,5184000,25.257360458374023
651.22,1649.36,0.0,1630,10900,1.3193436861038208,2.6257150173187256,5232000,37.44447326660156
554.27,1550.46,0.0,1632,11000,0.3107230067253113,0.3289245367050171,5280000,27.53215217590332
600.67,1680.98,0.0,1633,11100,2.094620943069458,0.1318136304616928,5328000,22.414554595947266
666.39,1750.52,5.960464477539063e-08,1635,11200,2.038867950439453,-2.0431175231933594,5376000,91.5965347290039
677.45,1762.09,0.0,1636,11300,1.561241626739502,2.3173840045928955,5424000,60.595096588134766
664.68,1669.33,0.0,1638,11400,1.3995611667633057,1.3492019176483154,5472000,24.216978073120117
668.08,1611.19,-1.1920928955078125e-07,1640,11500,1.7991602420806885,0.631102979183197,5520000,23.813579559326172
664.02,1684.73,0.0,1641,11600,2.2756590843200684,0.43937331438064575,5568000,23.637670516967773
714.44,1834.95,0.0,1643,11700,1.8158929347991943,-0.274013489484787,5616000,22.44121742248535
787.52,1827.34,0.0,1644,11800,1.540284276008606,-1.480726957321167,5664000,42.291542053222656
758.95,1746.58,5.960464477539063e-08,1646,11900,1.891927719116211,2.8449695110321045,5712000,23.80126953125
647.34,1644.09,0.0,1647,12000,2.141396999359131,-2.4490339756011963,5760000,86.32034301757812
720.66,1788.18,5.960464477539063e-08,1649,12100,2.1579134464263916,2.8702709674835205,5808000,25.398462295532227
703.66,1801.52,0.0,1650,12200,1.9381879568099976,3.676870584487915,5856000,27.8372745513916
678.39,1818.8,0.0,1652,12300,1.7291595935821533,1.211931586265564,5904000,23.855207443237305
727.8,1821.36,-1.1920928955078125e-07,1653,12400,2.096543073654175,0.9260419011116028,5952000,52.40980529785156
728.09,1725.6,0.0,1654,12500,0.547462522983551,1.7310199737548828,6000000,24.092817306518555
680.85,1528.96,0.0,1656,12600,1.9773657321929932,-1.3791420459747314,6048000,114.52588653564453
677.64,1758.27,5.960464477539063e-08,1657,12700,1.4346234798431396,1.007462978363037,6096000,22.0169677734375
636.45,1663.58,0.0,1658,12800,1.5505397319793701,-6.368077278137207,6144000,107.00556945800781
664.49,1659.4,0.0,1658,12900,2.0487401485443115,-0.06573651731014252,6192000,53.96012878417969
709.41,1669.46,0.0,1659,13000,1.3137763738632202,1.1516329050064087,6240000,25.76708221435547
646.8,1522.31,0.0,1660,13100,0.7234839200973511,-0.245028555393219,6288000,56.30343246459961
619.34,1514.99,0.0,1660,13200,1.458358883857727,-4.157856464385986,6336000,118.72129821777344
661.55,1646.8,0.0,1661,13300,1.5876790285110474,-0.4248557686805725,6384000,22.944385528564453
700.64,1706.79,0.0,1661,13400,0.9951609969139099,1.055146336555481,6432000,24.256450653076172
678.86,1663.85,5.960464477539063e-08,1662,13500,1.9171561002731323,-0.2572786808013916,6480000,22.421056747436523
769.71,1793.83,5.960464477539063e-08,1662,13600,1.4957153797149658,0.16112513840198517,6528000,59.77630615234375
714.63,1676.98,0.0,1663,13700,1.3086235523223877,-0.12156090140342712,6576000,77.65673065185547
651.16,1564.86,0.0,1663,13800,0.8239187002182007,-0.492659330368042,6624000,22.753103256225586
684.53,1630.53,0.0,1664,13900,1.0097416639328003,-0.865303099155426,6672000,64.97309112548828
651.56,1578.61,0.0,1664,14000,1.6997430324554443,0.4191303253173828,6720000,24.49018669128418
484.53,855.01,0.0,1665,14100,0.006956045050173998,-0.0005764603265561163,6768000,6.624354839324951
445.03,623.08,0.0,1665,14200,0.0067655714228749275,-0.00015597997116856277,6816000,24.91753387451172
398.22,627.88,0.0,1666,14300,0.104728564620018,-0.34567150473594666,6864000,23.304988861083984
534.23,1132.13,-1.1920928955078125e-07,1666,14400,1.2624233961105347,2.7536799907684326,6912000,28.360929489135742
675.38,1545.13,-1.1920928955078125e-07,1667,14500,0.015940964221954346,-0.035573769360780716,6960000,13.881240844726562
454.9,662.96,-1.1920928955078125e-07,1667,14600,0.030334321781992912,0.004348317626863718,7008000,30.624547958374023
556.71,1145.38,0.0,1668,14700,1.493794560432434,-2.9761714935302734,7056000,19.262773513793945
571.65,1543.83,0.0,1668,14800,1.2852225303649902,-0.9145652055740356,7104000,22.65888786315918
686.21,1610.93,0.0,1669,14900,1.0858699083328247,0.47631585597991943,7152000,24.7318115234375
