Wall time,Step,Value
1526989758.7931023,2004,9.03380298614502
1526989759.2429616,2008,68.22701263427734
1526989759.463927,2012,6.092994689941406
1526989759.6851943,2016,6.509389877319336
1526989759.903586,2020,1.5444327592849731
1526989760.1285946,2024,5.230006217956543
1526989760.3682704,2028,4.64765739440918
1526989760.5935042,2032,0.1819261908531189
1526989760.8088684,2036,6.352574825286865
1526989761.031032,2040,2.30792498588562
1526989761.261148,2044,4.5149712562561035
1526989761.4757292,2048,2.346853494644165
1526989761.699051,2052,6.286422252655029
1526989761.9140997,2056,0.1590735912322998
1526989762.1397078,2060,4.216506481170654
1526989762.3682451,2064,0.27992644906044006
1526989762.6055229,2068,3.656780958175659
1526989762.8282132,2072,6.033928394317627
1526989763.0473924,2076,3.9522056579589844
1526989763.2822044,2080,3.861914873123169
1526989763.5023298,2084,1.9646568298339844
1526989763.773178,2088,6.141050815582275
1526989763.9983845,2092,0.23847360908985138
1526989764.2461655,2096,0.3176336884498596
1526989764.5464978,2100,8.130110740661621
1526989764.76785,2104,3.861370801925659
1526989764.986308,2108,6.638166904449463
1526989765.2083333,2112,2.7331912517547607
1526989765.4408362,2116,4.264823913574219
1526989765.6650991,2120,2.939389228820801
1526989765.87961,2124,4.40369176864624
1526989766.1002698,2128,2.131507635116577
1526989766.3410397,2132,6.499212265014648
1526989766.6060445,2136,0.07424711436033249
1526989766.8187222,2140,2.1912174224853516
1526989767.035896,2144,4.843897342681885
1526989767.2476244,2148,11.39978313446045
1526989767.47258,2152,4.394542217254639
1526989767.750453,2156,0.4981027841567993
1526989768.0223393,2160,6.760134220123291
1526989768.345115,2164,2.2661077976226807
1526989768.5712306,2168,4.319922924041748
1526989768.7884693,2172,2.236454725265503
1526989769.0240653,2176,6.0987725257873535
1526989769.378469,2180,0.1327580213546753
1526989769.6069436,2184,6.09132719039917
1526989769.8822844,2188,2.4000449180603027
1526989770.1161838,2192,4.9072184562683105
1526989770.3401794,2196,4.464048862457275
1526989770.5622957,2200,3.69657826423645
1526989770.8010027,2204,3.279346466064453
1526989771.110395,2208,0.3322426676750183
1526989771.3913548,2212,8.05838394165039
1526989771.6198075,2216,8.040454864501953
1526989771.846262,2220,4.184092998504639
1526989772.0659459,2224,4.089284420013428
1526989772.3009465,2228,2.6370980739593506
1526989772.5141675,2232,6.984266757965088
1526989772.7455099,2236,0.41118088364601135
1526989772.96417,2240,3.0296688079833984
1526989773.1877875,2244,0.30927857756614685
1526989773.4126914,2248,4.4097514152526855
1526989773.6365843,2252,2.0414559841156006
1526989773.8722022,2256,1.9971705675125122
1526989774.0945296,2260,0.48371267318725586
1526989774.3179772,2264,4.469301223754883
