absolute time,reward,time,,
1596257632.082,483.000,19.253,,
1596257632.121,483.000,19.292,,
1596257632.155,483.000,19.325,,
1596257632.167,483.000,19.338,,
1596257632.179,483.000,19.350,,
1596257632.200,483.000,19.371,,
1596257632.234,483.000,19.405,,
1596257632.265,483.000,19.435,,
1596257632.277,483.000,19.448,,
1596257632.313,483.000,19.483,,
1596257632.336,483.000,19.507,,
1596257632.352,483.000,19.523,,
1596257632.406,483.000,19.576,,
1596257632.431,483.000,19.602,,
1596257632.452,483.000,19.623,,
1596257632.464,483.000,19.635,,
1596257632.498,483.000,19.668,,
1596257632.515,483.000,19.686,,
1596257632.609,483.000,19.780,,
1596257632.639,483.000,19.810,,
1596257632.654,483.000,19.824,,
1596257632.667,483.000,19.838,,
1596257632.710,483.000,19.881,,
1596257632.733,483.000,19.903,,
1596257632.745,483.000,19.916,,
1596257632.756,483.000,19.927,,
1596257632.778,483.000,19.949,,
1596257632.798,483.000,19.969,,
1596257632.815,483.000,19.985,,
1596257632.841,483.000,20.012,,
1596257632.867,483.000,20.038,,
1596257632.881,483.000,20.052,,
1596257632.905,483.000,20.076,,
1596257632.925,483.000,20.095,,
1596257632.941,483.000,20.112,,
1596257632.955,483.000,20.126,,
1596257632.974,483.000,20.144,,
1596257632.996,483.000,20.167,,
1596257633.011,483.000,20.181,,
1596257633.032,483.000,20.203,,
1596257633.047,483.000,20.217,,
1596257633.065,483.000,20.236,,
1596257633.105,483.000,20.276,,
1596257633.126,483.000,20.297,,
1596257633.140,483.000,20.311,,
1596257633.163,483.000,20.334,,
1596257633.193,483.000,20.363,,
1596257633.212,483.000,20.383,,
1596257633.232,483.000,20.403,,
1596257633.247,483.000,20.418,,
1596257633.284,483.000,20.455,,
1596257633.312,483.000,20.482,,
1596257633.372,483.000,20.543,,
1596257633.400,483.000,20.570,,
1596257633.415,483.000,20.586,,
1596257633.434,483.000,20.604,,
1596257633.509,483.000,20.680,,
1596257633.532,483.000,20.703,,
1596257633.546,483.000,20.717,,
1596257633.558,483.000,20.728,,
1596257633.589,483.000,20.760,,
1596257633.613,483.000,20.784,,
1596257633.648,483.000,20.819,,
1596257633.668,483.000,20.839,,
1596257633.680,484.000,20.851,,
1596257633.698,485.000,20.869,,
1596257633.732,486.000,20.903,,
1596257633.745,487.000,20.915,,
1596257633.758,488.000,20.928,,
1596257633.778,489.000,20.949,,
1596257633.794,490.000,20.964,,
1596257633.813,491.000,20.984,,
1596257633.828,492.000,20.999,,
1596257633.841,493.000,21.011,,
1596257633.857,494.000,21.028,,
1596257633.880,495.000,21.051,,
1596257633.893,496.000,21.064,,
1596257633.906,497.000,21.077,,
1596257633.935,498.000,21.106,,
1596257633.968,499.000,21.139,,
1596257633.989,500.000,21.160,,
1596257634.002,501.000,21.173,,
1596257634.015,502.000,21.186,,
1596257634.046,503.000,21.217,,
1596257634.065,504.000,21.235,,
1596257634.086,505.000,21.257,,
1596257634.100,506.000,21.270,,
1596257634.112,507.000,21.282,,
1596257634.139,508.000,21.309,,
1596257634.151,509.000,21.322,,
1596257634.181,509.000,21.352,,
1596257634.248,509.000,21.419,,
1596257634.277,509.000,21.448,,
1596257634.295,509.000,21.466,,
1596257634.333,509.000,21.503,,
1596257634.352,509.000,21.522,,
1596257634.364,509.000,21.535,,
1596257634.421,509.000,21.592,,
1596257634.455,509.000,21.626,,
1596257634.469,509.000,21.640,,
1596257634.482,509.000,21.652,,
1596257634.552,509.000,21.723,,
1596257634.574,509.000,21.745,,
1596257634.590,509.000,21.761,,
1596257634.603,509.000,21.773,,
1596257634.646,509.000,21.817,,
1596257634.667,509.000,21.838,,
1596257634.680,509.000,21.851,,
1596257634.744,509.000,21.915,,
1596257634.770,509.000,21.941,,
1596257634.782,509.000,21.952,,
1596257634.798,509.000,21.968,,
1596257634.854,509.000,22.024,,
1596257634.886,509.000,22.056,,
1596257634.903,509.000,22.074,,
1596257634.921,509.000,22.091,,
1596257634.939,509.000,22.109,,
1596257634.952,509.000,22.122,,
1596257634.988,509.000,22.159,,
1596257635.017,509.000,22.187,,
1596257635.029,509.000,22.199,,
1596257635.040,509.000,22.211,,
1596257635.072,509.000,22.243,,
1596257635.084,509.000,22.255,,
1596257635.098,509.000,22.269,,
1596257635.113,509.000,22.283,,
1596257635.141,509.000,22.312,,
1596257635.161,509.000,22.332,,
1596257635.174,509.000,22.345,,
1596257635.190,509.000,22.361,,
1596257635.202,509.000,22.373,,
1596257635.214,509.000,22.385,,
1596257635.231,509.000,22.401,,
1596257635.246,509.000,22.416,,
1596257635.262,509.000,22.433,,
1596257635.276,509.000,22.447,,
1596257635.295,509.000,22.466,,
1596257635.311,509.000,22.482,,
1596257635.325,509.000,22.496,,
1596257635.340,509.000,22.511,,
1596257635.353,509.000,22.524,,
1596257635.366,509.000,22.537,,
