eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,total_timesteps
nan,nan,887,1.2628265e-06,0.0,3.583518,-0.00014054454,3.8754106,1.627206802368164e-05,1,128,3.4621900000000005,3072
nan,nan,1357,1.2758663e-05,0.0,3.583487,-0.00030697932,6.92761,1.2636184692382812e-05,2,256,5.725975300000001,6144
nan,nan,1381,3.4678636e-05,0.0,3.583361,-0.00058043504,14.265447,0.00047969818115234375,3,384,7.9504875,9216
nan,nan,1385,9.983697e-05,0.0,3.5828362,-0.001350805,5.400579,0.0012685060501098633,4,512,10.16866,12288
nan,nan,1334,0.0001717489,0.0,3.5816448,-0.0016638201,8.291317,0.00027942657470703125,5,640,12.470340399999998,15360
nan,nan,1338,0.00027247105,0.0,3.5794947,-0.0023367233,8.578875,0.0006797909736633301,6,768,14.766193600000001,18432
882.0,349.0,1409,0.00045647038,0.0,3.5752048,-0.0026143035,10.433879,-3.337860107421875e-05,7,896,16.9457277,21504
882.0,349.0,1409,0.0008554271,0.00773112,3.5671315,-0.0045589586,8.689256,0.0015628337860107422,8,1024,19.1252439,24576
1005.0,411.5,1400,0.0019032035,0.062418617,3.5463607,-0.006857653,13.493239,0.0009510517120361328,9,1152,21.3198339,27648
1064.6666666666667,417.6666666666667,1403,0.002278321,0.11580403,3.5191572,-0.005178576,18.04545,0.0004805326461791992,10,1280,23.5093278,30720
1064.6666666666667,417.6666666666667,1402,0.002204571,0.15657553,3.49168,-0.0039804424,17.317528,0.0024167299270629883,11,1408,25.7005427,33792
1064.6666666666667,417.6666666666667,1398,0.0015696298,0.057373047,3.4803689,-0.002961238,16.667027,0.0015404224395751953,12,1536,27.897603500000002,36864
1064.6666666666667,417.6666666666667,1353,0.001078981,0.029378254,3.4461296,-0.0023210528,8.784394,0.0013102889060974121,13,1664,30.168371,39936
1064.6666666666667,417.6666666666667,1396,0.00089041435,0.01871745,3.4080634,-0.0006413214,14.935267,0.0029053092002868652,14,1792,32.368141,43008
1384.6,736.2,1383,0.00072007056,0.014485678,3.3865342,-0.0013762274,19.91769,0.003925204277038574,15,1920,34.5888899,46080
1570.7142857142858,1019.0,1405,0.00085396756,0.020589193,3.3636158,-0.0008573427,21.647198,0.0064490437507629395,16,2048,36.7752341,49152
1635.875,1026.75,1399,0.001017771,0.04215495,3.3221066,-0.0020056597,20.436264,0.009279012680053711,17,2176,38.9704775,52224
1737.25,1174.0833333333333,1405,0.00051947165,0.018310547,3.3263001,-0.0014438073,18.908512,0.010882437229156494,18,2304,41.1564028,55296
1782.5384615384614,1222.5384615384614,1399,0.0005637228,0.0021158853,3.320504,-0.0017898909,28.697006,0.006039023399353027,19,2432,43.3515837,58368
1834.0714285714287,1272.2142857142858,1341,0.0007405053,0.020996094,3.3307042,-0.0019167681,16.251648,0.018571972846984863,20,2560,45.6428067,61440
1834.0714285714287,1272.2142857142858,1398,0.0016823203,0.11629232,3.2937396,0.0005021101,24.75654,0.009086668491363525,21,2688,47.8406705,64512
1872.5625,1300.0,1395,0.0005676029,0.015624999,3.299452,-0.0014566989,13.630656,0.015686452388763428,22,2816,50.0417859,67584
1928.5294117647059,1358.8235294117646,1398,0.0007897243,0.012532552,3.2788446,-0.0018442129,23.472126,0.012846946716308594,23,2944,52.2381899,70656
1877.95,1362.8,1376,0.00071192405,0.006998698,3.2507138,-0.00019808608,35.405655,0.010091900825500488,24,3072,54.4701796,73728
1993.7272727272727,1474.7727272727273,1383,0.0010005068,0.036132812,3.2084832,-0.0011375325,28.884966,0.016261160373687744,25,3200,56.6909811,76800
2006.0416666666667,1532.4166666666667,1352,0.0015394182,0.08626302,3.2056694,-0.0008820455,24.866926,0.017912983894348145,26,3328,58.963714100000004,79872
1952.32,1536.08,1281,0.00064712635,0.015380859,3.2095718,-0.00066588,21.705124,0.019184768199920654,27,3456,61.361798199999996,82944
2057.5625,1754.40625,1359,0.00042834727,0.008707682,3.1718435,-0.0012528719,31.282557,0.014666974544525146,28,3584,63.6214765,86016
2057.5625,1754.40625,1373,0.00074996555,0.036702476,3.1687474,-0.0019022129,22.469181,0.022457778453826904,29,3712,65.858683,89088
1943.9722222222222,1758.5,1401,0.0004655758,0.0010579427,3.172464,-0.0009947488,20.577984,0.01945096254348755,30,3840,68.0511359,92160
1921.9512195121952,1784.5121951219512,1395,0.00055198325,0.0024414062,3.1728513,-0.0015620388,32.924263,0.019347429275512695,31,3968,70.2523669,95232
1888.7857142857142,1773.6666666666667,1392,0.0011832312,0.030273438,3.1513464,-0.0014419863,19.816217,0.026480495929718018,32,4096,72.4597465,98304
1859.5813953488373,1767.5813953488373,1384,0.0007331806,0.019042969,3.1193044,-0.00083224307,23.361706,0.021690666675567627,33,4224,74.6795293,101376
1809.2222222222222,1740.0222222222221,1320,0.0006636235,0.01985677,3.1057222,-0.0010056838,22.890812,0.023259520530700684,34,4352,77.0068974,104448
1785.0851063829787,1748.5744680851064,1387,0.00040908332,0.0009765625,3.079382,-0.0007411259,23.077757,0.020488381385803223,35,4480,79.2219404,107520
1767.3076923076924,1759.9615384615386,1385,0.00067739724,0.0061035156,3.06089,-0.00066187134,25.690845,0.02441495656967163,36,4608,81.4391168,110592
1723.8181818181818,1766.509090909091,1356,0.00089982536,0.03499349,3.0229146,-0.0025589278,32.87006,0.023208975791931152,37,4736,83.703578,113664
1689.1016949152543,1829.3389830508474,1400,0.0006780989,0.028076172,3.0213432,-0.0010177115,15.058101,0.025873839855194092,38,4864,85.8973166,116736
1673.6065573770493,1834.0983606557377,1399,0.0006171642,0.01977539,3.0315053,-0.0016359922,25.995613,0.025570273399353027,39,4992,88.0936541,119808
1656.9193548387098,1826.3064516129032,1379,0.0010243781,0.05126953,2.9933348,-0.0010311671,31.40033,0.026351094245910645,40,5120,90.3212152,122880
1602.0434782608695,1827.1304347826087,1392,0.0006320853,0.007486979,2.9603977,-0.0020814685,26.527014,0.03137141466140747,41,5248,92.5281509,125952
1593.2465753424658,1829.5068493150684,1383,0.0007016304,0.009521484,2.9296262,-0.000635496,40.030186,0.03318566083908081,42,5376,94.74956829999999,129024
1600.9333333333334,1834.92,1368,0.0007879753,0.010823567,2.918197,-0.0012714004,37.530155,0.034609436988830566,43,5504,96.9947409,132096
1570.6410256410256,1844.7820512820513,1374,0.0014156045,0.041585285,2.9135005,-0.0020487371,29.564495,0.041961848735809326,44,5632,99.2300877,135168
1532.1686746987953,1866.5903614457832,1390,0.0004810209,0.005777995,2.9106677,1.4539946e-05,29.935616,0.04385119676589966,45,5760,101.4392711,138240
1520.0595238095239,1857.9404761904761,1376,0.00037524747,0.0017089844,2.889458,-0.0011058371,29.347326,0.06504923105239868,46,5888,103.6720228,141312
1487.340909090909,1867.4886363636363,1338,0.00096319086,0.038085938,2.8596206,-0.0014121844,18.585081,0.06516450643539429,47,6016,105.9682631,144384
1446.3548387096773,1855.720430107527,1385,0.0005730331,0.008382161,2.8302479,-0.0009998945,34.23852,0.06281071901321411,48,6144,108.1852984,147456
1431.4842105263158,1856.5894736842106,1364,0.00063715654,0.03149414,2.8205523,-0.00054920505,32.532303,0.07291078567504883,49,6272,110.4367693,150528
1413.0102040816328,1870.6632653061224,1385,0.00038943894,0.0,2.8366609,-0.00029369732,24.055342,0.07571780681610107,50,6400,112.6552996,153600
1398.68,1889.51,1372,0.00061765243,0.015055338,2.818816,-0.0010009636,23.904577,0.0889769196510315,51,6528,114.8941434,156672
1364.39,1921.64,1333,0.0006537931,0.025878906,2.8132434,-0.0011487172,22.734322,0.08592242002487183,52,6656,117.1978017,159744
1304.01,1916.51,1371,0.00036528788,0.0021158853,2.7643385,-0.00086752564,25.250648,0.07914465665817261,53,6784,119.4374791,162816
1288.69,1920.63,1349,0.0017310921,0.093180336,2.763291,0.00044453354,24.152775,0.09565287828445435,54,6912,121.71457210000001,165888
1229.76,1942.42,1322,0.004443667,0.3466797,2.7460647,0.005504419,24.938745,0.08614391088485718,55,7040,124.03831190000001,168960
1180.19,1949.09,1267,0.0007794619,0.008463541,2.7579293,-0.0003809495,29.795382,0.08391541242599487,56,7168,126.4621414,172032
1150.23,1936.45,1358,0.00045763337,0.0007324219,2.7776842,-0.00024118781,20.424446,0.08917582035064697,57,7296,128.72333060000003,175104
1121.25,1928.28,1356,0.0004454615,0.0060221353,2.775531,-9.6610165e-08,25.085701,0.09997963905334473,58,7424,130.9884881,178176
1075.68,1920.92,1379,0.00036809564,0.0,2.8049343,-0.0011651929,22.453514,0.1159781813621521,59,7552,133.21547510000002,181248
1038.15,1900.34,1365,0.00065077364,0.014078776,2.7580981,-0.00035712327,25.185102,0.11482423543930054,60,7680,135.4655772,184320
