eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,total_timesteps
nan,nan,879,1.5727868e-06,0.0,3.5835176,-0.00013635396,1.8444848,-1.6927719116210938e-05,1,128,3.4933128999999994,3072
nan,nan,1350,1.1548552e-05,0.0,3.5834851,-0.00019462401,4.2112017,0.0002473592758178711,2,256,5.769463699999999,6144
nan,nan,1361,3.0192636e-05,0.0,3.5833852,-0.0003022205,5.353456,0.0010385513305664062,3,384,8.0264457,9216
nan,nan,1338,5.9360416e-05,0.0,3.5830064,-0.0007566006,3.522445,0.002673029899597168,4,512,10.322097399999999,12288
nan,nan,1361,0.00010154851,0.0,3.582292,-0.00089676696,6.1643476,0.0005228519439697266,5,640,12.578636900000001,15360
nan,nan,1339,0.00015122766,0.0,3.5810928,-0.0015149555,6.732811,0.0010120868682861328,6,768,14.8724619,18432
nan,nan,1343,0.00036986615,0.0,3.578334,-0.0030605183,10.189884,0.0018087029457092285,7,896,17.1588516,21504
nan,nan,1325,0.00080278533,0.004801432,3.5708742,-0.003651323,15.250261,0.0008284449577331543,8,1024,19.477499199999997,24576
nan,nan,1338,0.0012892883,0.023925781,3.5569005,-0.0041577634,10.525804,0.0012118220329284668,9,1152,21.7727729,27648
1268.0,783.0,1347,0.0018418309,0.08642578,3.5340114,-0.0057938467,25.24899,0.003368675708770752,10,1280,24.052377399999997,30720
1268.0,783.0,1349,0.0020724856,0.120035805,3.507715,-0.004306098,18.329256,0.002083897590637207,11,1408,26.3291816,33792
1268.0,783.0,1359,0.0026857713,0.1841634,3.4727273,-0.0026914864,18.24421,0.003531932830810547,12,1536,28.5891492,36864
1487.0,943.6666666666666,1323,0.0004670011,0.0014648438,3.4473114,-0.0012248341,15.744421,0.0015961527824401855,13,1664,30.9111007,39936
1487.0,943.6666666666666,1318,0.0005321919,0.0,3.4169712,-0.0006361862,17.72145,0.0016819238662719727,14,1792,33.2413905,43008
1487.0,943.6666666666666,1331,0.00076824066,0.015625,3.4035928,-0.0013476234,10.965856,0.005140781402587891,15,1920,35.5492009,46080
1487.0,943.6666666666666,1354,0.00048343427,0.0,3.380865,-0.00046320882,20.809425,0.001950681209564209,16,2048,37.817173600000004,49152
1340.75,1125.25,1350,0.00056273077,0.0030110676,3.3645244,-0.0009571431,12.708678,0.004967927932739258,17,2176,40.091741500000005,52224
1340.75,1125.25,1352,0.00065368164,0.0076497397,3.3509963,-0.0011374656,14.047593,0.005796909332275391,18,2304,42.363501,55296
1536.2,1190.0,1330,0.0008108009,0.0069173174,3.325516,-0.0007039359,12.592722,0.006341040134429932,19,2432,44.673000200000004,58368
1694.0,1282.5,1333,0.00051561935,0.006510417,3.3320398,-0.0006942396,7.2673073,0.017177820205688477,20,2560,46.977312600000005,61440
2020.111111111111,1364.7777777777778,1334,0.00061980734,0.0056152344,3.278211,-0.00032191703,19.66651,0.008608400821685791,21,2688,49.2802159,64512
2161.5454545454545,1471.1818181818182,1353,0.00052309316,0.008707683,3.287801,-0.0005894047,20.965982,0.011303365230560303,22,2816,51.5504003,67584
2250.5333333333333,1610.4,1349,0.0008134459,0.020833334,3.255833,-0.0017325518,28.752546,0.008368730545043945,23,2944,53.827245000000005,70656
2404.315789473684,1667.0526315789473,1351,0.0006879861,0.013020833,3.2562785,-0.0005219729,26.690582,0.008535444736480713,24,3072,56.1014775,73728
2383.181818181818,1665.0,1345,0.0012141839,0.042805992,3.249325,-0.00057047716,22.57223,0.0057215094566345215,25,3200,58.3848096,76800
2304.2608695652175,1636.6521739130435,1354,0.0005618097,0.007242839,3.25687,-0.00021061572,20.92929,0.019367456436157227,26,3328,60.6530798,79872
2391.72,1659.68,1358,0.00042693547,0.009358724,3.2705379,-0.0013169548,19.826967,0.027503669261932373,27,3456,62.914425300000005,82944
2391.72,1659.68,1332,0.0014210553,0.06567383,3.2472858,-0.00087296154,36.036285,0.02859097719192505,28,3584,65.2198276,86016
2274.535714285714,1724.3214285714287,1337,0.0007550559,0.03938802,3.2655716,-0.0025207286,22.418877,0.02690678834915161,29,3712,67.5171775,89088
2201.633333333333,1710.1666666666667,1338,0.0009185651,0.021728516,3.2609525,-0.0011829359,25.990458,0.042038559913635254,30,3840,69.8121737,92160
2035.1842105263158,1731.3684210526317,1355,0.00073826476,0.02034505,3.2205088,-0.0013737695,34.782047,0.0326768159866333,31,3968,72.078772,95232
2063.325,1762.325,1356,0.00048109752,0.0,3.2256334,-0.00063979096,20.970917,0.05492532253265381,32,4096,74.3437854,98304
2041.7560975609756,1761.9756097560976,1340,0.0019107613,0.1114095,3.216673,0.0005466643,31.00903,0.048749446868896484,33,4224,76.6366404,101376
1958.3333333333333,1784.6444444444444,1351,0.0016170108,0.06347656,3.1686215,0.00017133619,28.74552,0.04159599542617798,34,4352,78.9096076,104448
1920.2978723404256,1795.9574468085107,1329,0.0010757204,0.07625326,3.1850548,-0.0017408165,26.600845,0.058777034282684326,35,4480,81.2200634,107520
1874.0408163265306,1797.3469387755101,1353,0.0005952847,0.0065917964,3.1832697,-0.0012646426,21.3527,0.06583410501480103,36,4608,83.4910671,110592
1775.3148148148148,1791.962962962963,1349,0.000633718,0.0069986978,3.1449816,-0.0009597069,38.071373,0.059541404247283936,37,4736,85.7679671,113664
1733.6785714285713,1777.5357142857142,1334,0.0005885186,0.0048014326,3.119619,-0.0005500339,20.514088,0.05774414539337158,38,4864,88.0702167,116736
1719.551724137931,1813.1896551724137,1334,0.0005407158,0.010498048,3.1414938,-0.001379279,25.776087,0.06215947866439819,39,4992,90.373096,119808
